ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
0;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.8160;0.8160;0.8160;0.7348;0.7698;0.7519;0.7209;0.6327;0.6739;0.7667;0.4792;0.5897;0.5287;0.3889;0.3784;0.3836;0.2500;0.0833;0.1250;0.4318
1;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7500;0.7920;0.7704;0.7000;0.6667;0.6829;0.6458;0.6327;0.6392;0.7133;0.7568;0.7179;0.7368;0.6122;0.8108;0.6977;1.0000;0.1667;0.2857;0.6818
2;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7750;0.7440;0.7592;0.6765;0.7302;0.7023;0.7045;0.6327;0.6667;0.7200;0.6512;0.7179;0.6829;0.5854;0.6486;0.6154;0.5000;0.1667;0.2500;0.6136
3;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7863;0.8240;0.8047;0.7063;0.7063;0.7063;0.7209;0.6327;0.6739;0.7433;0.6250;0.5128;0.5634;0.4464;0.6757;0.5376;0.0000;0.0000;0.0000;0.5114
4;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7410;0.8240;0.7803;0.6923;0.6429;0.6667;0.5682;0.5102;0.5376;0.6967;0.7647;0.6667;0.7123;0.5472;0.7838;0.6444;0.0000;0.0000;0.0000;0.6250
5;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7891;0.8080;0.7984;0.7250;0.6905;0.7073;0.5769;0.6122;0.5941;0.7267;0.8529;0.7436;0.7945;0.6531;0.8649;0.7442;0.4000;0.1667;0.2353;0.7159
6;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.8047;0.8240;0.8142;0.7500;0.7381;0.7440;0.6042;0.5918;0.5979;0.7500;0.7667;0.5897;0.6667;0.4792;0.6216;0.5412;0.1000;0.0833;0.0909;0.5341
7;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.8000;0.8000;0.8000;0.7063;0.7063;0.7063;0.6531;0.6531;0.6531;0.7367;0.6087;0.3590;0.4516;0.4444;0.7568;0.5600;0.0000;0.0000;0.0000;0.4773
8;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7623;0.7440;0.7530;0.6484;0.6587;0.6535;0.6000;0.6122;0.6061;0.6867;0.2979;0.3590;0.3256;0.3478;0.2162;0.2667;0.0556;0.0833;0.0667;0.2614
9;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7122;0.7920;0.7500;0.6983;0.6429;0.6694;0.6667;0.6122;0.6383;0.7000;0.6957;0.8205;0.7529;0.6571;0.6216;0.6389;0.0000;0.0000;0.0000;0.6250
