ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
0;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7541;0.5823;0.6571;0.6071;0.7312;0.6634;0.4800;0.4615;0.4706;0.6364;0.4792;0.5897;0.5287;0.3889;0.3784;0.3836;0.2500;0.0833;0.1250;0.4318
1;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7031;0.5696;0.6294;0.5849;0.6667;0.6231;0.3571;0.3846;0.3704;0.5909;0.7568;0.7179;0.7368;0.6122;0.8108;0.6977;1.0000;0.1667;0.2857;0.6818
2;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7368;0.5316;0.6176;0.6408;0.7097;0.6735;0.2105;0.3077;0.2500;0.5859;0.6512;0.7179;0.6829;0.5854;0.6486;0.6154;0.5000;0.1667;0.2500;0.6136
3;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7826;0.6835;0.7297;0.6442;0.7204;0.6802;0.2800;0.2692;0.2745;0.6465;0.6250;0.5128;0.5634;0.4464;0.6757;0.5376;0.0000;0.0000;0.0000;0.5114
4;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6471;0.5570;0.5986;0.6327;0.6667;0.6492;0.4688;0.5769;0.5172;0.6111;0.7647;0.6667;0.7123;0.5472;0.7838;0.6444;0.0000;0.0000;0.0000;0.6250
5;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7541;0.5823;0.6571;0.5856;0.6989;0.6373;0.3077;0.3077;0.3077;0.6010;0.8529;0.7436;0.7945;0.6531;0.8649;0.7442;0.4000;0.1667;0.2353;0.7159
6;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7143;0.5696;0.6338;0.6226;0.7097;0.6633;0.3793;0.4231;0.4000;0.6162;0.7667;0.5897;0.6667;0.4792;0.6216;0.5412;0.1000;0.0833;0.0909;0.5341
7;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7619;0.6076;0.6761;0.6796;0.7527;0.7143;0.4375;0.5385;0.4828;0.6667;0.6087;0.3590;0.4516;0.4444;0.7568;0.5600;0.0000;0.0000;0.0000;0.4773
8;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6364;0.4430;0.5224;0.5833;0.6774;0.6269;0.2286;0.3077;0.2623;0.5354;0.2979;0.3590;0.3256;0.3478;0.2162;0.2667;0.0556;0.0833;0.0667;0.2614
9;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.6286;0.5570;0.5906;0.6321;0.7204;0.6734;0.5000;0.4231;0.4583;0.6162;0.6957;0.8205;0.7529;0.6571;0.6216;0.6389;0.0000;0.0000;0.0000;0.6250
10;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7544;0.5443;0.6324;0.6696;0.8280;0.7404;0.3462;0.3462;0.3462;0.6515;0.6591;0.7436;0.6988;0.5854;0.6486;0.6154;0.6667;0.1667;0.2667;0.6250
11;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6286;0.5570;0.5906;0.5941;0.6452;0.6186;0.4074;0.4231;0.4151;0.5808;0.9600;0.6154;0.7500;0.5968;1.0000;0.7475;1.0000;0.0833;0.1538;0.7045
